season,week,P25,P50,P75,P90,P95
2023-2024,19,24392.5,30770.5,43396.75,70272.00000000001,103343.9
2023-2024,20,26961.75,34145,47508.5,75282.00000000001,107079.84999999999
2023-2024,21,29056.75,37215,52140,84275.40000000001,131640.05
2023-2024,22,31560.75,40077.5,56745.5,90829.20000000003,133861.19999999995
2023-2024,23,33228,42053,58307.25,93733.40000000004,139036.69999999998
2023-2024,24,35288.5,45100.5,63862.5,104521.90000000002,146276.9999999999
2023-2024,25,36992.25,47487,67158.5,108723.80000000002,161824.8
2023-2024,26,38648.75,49073.5,69993.25,115496.80000000002,168900.8999999998
2023-2024,27,39353.25,50686,71169.25,111456.00000000009,179448.44999999992
2023-2024,28,38991,50566.5,73153.75,116396.09999999999,166925.09999999995
2023-2024,29,38188.5,48162.5,69336,112737.50000000006,164019.09999999998
2023-2024,30,35917,45831,65361.75,103503.1,154790.59999999995
2023-2024,31,32453.75,41264,58648,91992.00000000006,139176.19999999984
2023-2024,32,28710.25,36553,51294.75,83681,118962.54999999999
2023-2024,33,24937,31488,43019.25,68378.80000000002,102948.5
2023-2024,34,21218.75,26514,36719.5,57374.20000000007,79702.29999999997
2023-2024,35,18021.5,22457.5,30730.75,47696.40000000002,72315.14999999998
2023-2024,36,15018.25,18911.5,26383.25,40773.30000000001,59121.1
2023-2024,37,12826.5,15695,21584,32537.300000000017,44343.44999999998
2023-2024,38,10857.75,13494.5,18373.75,27026.700000000004,40570.149999999994
2023-2024,39,9271.75,11649,15871.75,23625.200000000004,34215.74999999999
2023-2024,40,8074.75,10110.5,13576.25,20484.70000000002,27921.25
2023-2024,41,7188.25,8870,11896.25,17730.3,23469
2023-2024,42,6413,7916,10607.5,16042.300000000001,22710.55
2023-2024,43,5877.75,7265.5,9730.25,14814.000000000004,21812.35
2023-2024,44,5313.75,6601,8853.75,13014.300000000007,18786.89999999999
2023-2024,45,4943.75,6088,8262.75,12161.100000000002,17625.6
2023-2024,46,4692,5735,7528.25,11314.900000000009,15722.499999999993
2023-2024,47,4370.5,5417,7207,11066.500000000005,15298.549999999992
2023-2024,48,4158.75,5192.5,7053,10564.7,14562.349999999999
2023-2024,49,4131.5,5112.5,6830,10467.2,14161.999999999995
2023-2024,50,4087.75,5094.5,7001.25,10336.800000000007,15027.3
2023-2024,51,4103,5118.5,6885.25,10381.500000000004,14992.299999999997
2023-2024,52,4135,5166.5,7067.25,10711.800000000001,15929.749999999998
2024-2025,1,4793,6021.5,8376.75,13127.90000000001,19854.499999999964
2024-2025,2,4940.75,6212,8527,13236.600000000011,20710.74999999999
2024-2025,3,5162.25,6446,9036.5,13974.500000000013,20195.599999999984
2024-2025,4,5445.5,6770.5,9479.75,14907.400000000003,21580.399999999998
2024-2025,5,5754.5,7290.5,10200.25,15664.2,23129.3
2024-2025,6,6219.75,7940.5,10911.75,17079.800000000003,25440.1
2024-2025,7,6811,8558.5,11740.5,18102.4,26381.149999999987
2024-2025,8,7464,9365,12821,19670.199999999997,28207.399999999972
2024-2025,9,8098.75,10238.5,14292.25,22889.800000000014,32644.499999999996
2024-2025,10,8829.25,11371,15645.25,23711.300000000003,35992.44999999996
2024-2025,11,9843.5,12418,17740,28026.900000000005,42111.09999999996
2024-2025,12,11250.75,14422.5,20062.25,31061.9,49427.34999999992
2024-2025,13,13388.25,17038,24273.75,37871.50000000001,57003.799999999996
2024-2025,14,15632,20266,28512,48306.30000000002,69446.44999999998
2024-2025,15,18957.75,24172.5,33858.75,52480.7,78537.99999999993
2024-2025,16,22813.5,28541,40910,63312.299999999996,92188.29999999999
2024-2025,17,26489.5,33635.5,47982.75,79358.1,116019.29999999999
2024-2025,18,29993.25,39411.5,56427,89680.80000000002,133770.3
2024-2025,19,34523.5,44921,64127.75,103600.10000000003,140182.2
2024-2025,20,38395,49762.5,73741.75,119511.70000000004,176510.8
2024-2025,21,42496.5,53620.5,78014.75,132833.3000000002,195856.1
2024-2025,22,45935.5,60434,87891,146243.30000000005,210967.64999999997
2024-2025,23,49025.75,64723,94487.75,152404.30000000008,236510.3
2024-2025,24,51765.75,68643,100119.25,169595.3,267703.49999999994
2024-2025,25,55180,71842,105446.75,176904.0000000001,267258.6999999998
2024-2025,26,56912,76305,113835,187603.90000000023,277824.8499999997
2024-2025,27,57704.5,77487.5,113659.5,200828,302378.45
2024-2025,28,57822.25,77067,114140.75,195924.70000000027,282314.8499999993
2024-2025,29,55756,73715,109412.25,183657.00000000003,307754.85
2024-2025,30,51629.25,69219.5,98882.75,162681.2,256043.89999999994
2024-2025,31,46711.25,61175.5,88991.25,148991.80000000002,236816.29999999993
2024-2025,32,39896.25,52081,76856,130400.1,215716.74999999997
2024-2025,33,33666.75,44387,64934,109071.60000000002,166640.69999999998
2024-2025,34,28505.25,36289,52903,90509.50000000001,129994.65
2024-2025,35,23321.25,30078.5,42815.75,69159.3,109395.84999999998
2024-2025,36,19427.75,24699,34549.25,55799.8,84699.09999999996
2024-2025,37,16055.5,20042,28384.5,44559.00000000001,68049.3
2024-2025,38,13349.5,16928.5,23173,37391.60000000005,57114.7
2024-2025,39,11330.75,14249,19837,30152.800000000003,42175.59999999999
2024-2025,40,9638.75,12106,17033.5,25320.600000000013,37490.299999999996
2024-2025,41,8412.75,10558.5,14212.25,22140.700000000008,31419.149999999998
2024-2025,42,7488.25,9229,12513.75,19384.800000000003,26950.299999999992
2024-2025,43,6676.25,8288,11167,16134.900000000005,22929.95
2024-2025,44,6081.75,7490.5,10092.5,15218.300000000008,20644.399999999998
2024-2025,45,5595,7012.5,9453.75,14449.400000000012,19833.6
2024-2025,46,5316,6553,8855,13005.600000000006,17678.549999999996
2024-2025,47,4952,6208,8352,12419.500000000002,17860.199999999986
2024-2025,48,4852,6059.5,7907.5,11978.600000000004,17311.3
2024-2025,49,4713.5,5853.5,7884.5,11591.000000000004,16558.949999999993
2024-2025,50,4706.5,5857,7894.25,11885.200000000012,17545.199999999993
2024-2025,51,4732,5849,7907.75,12265.100000000002,18356.649999999998
2024-2025,52,4693.75,5960.5,8061.5,12202.2,18240.199999999993
