uf,season,week,P25,P50,P75,P90,P95
PB,2023-2024,38,301.75,502,551.45,1407.2000000000003,1925.7999999999984
PB,2023-2024,39,285,467.5,508,1245.6000000000008,1678.4499999999996
PB,2023-2024,40,268.75,449.5,493,1201,1640.999999999999
PB,2023-2024,41,254,427,472.9000000000001,1085.4000000000005,1532.4999999999986
PB,2023-2024,42,232,394,431.45000000000005,1020.700000000001,1439.1
PB,2023-2024,43,223,367,413.9000000000001,974,1341.1
PB,2023-2024,44,203,331,362.45000000000005,883.6000000000008,1228.1999999999998
PB,2023-2024,45,189,314,346.45000000000005,848.3000000000004,1190.6999999999994
PB,2023-2024,46,177,288,319,781.2000000000003,1079.3499999999997
PB,2023-2024,47,160.75,264,293,739.8000000000011,1030.1
PB,2023-2024,48,145,241,265,660.2000000000003,881.1499999999999
PB,2023-2024,49,134,227,249,610.1000000000001,841.5999999999995
PB,2023-2024,50,123,206,226,580,799.0999999999999
PB,2023-2024,51,116,193,213,530,720.1999999999998
PB,2023-2024,52,106,175,196,477.10000000000014,664.05
PE,2023-2024,1,332,543,599,1499.6000000000008,2074.749999999999
PE,2023-2024,2,334,538.5,599.45,1506.3000000000004,2148.45
PE,2023-2024,3,338,540,586,1492.700000000001,1979.1
PE,2023-2024,4,328.75,524,579.9000000000001,1365.1000000000015,1891.1499999999999
PE,2023-2024,5,318.5,518,565.45,1411.2000000000003,2010.1999999999998
PE,2023-2024,6,314.75,512,558,1472.1000000000001,2057.249999999999
PE,2023-2024,7,314.75,511,563,1339.0000000000027,1894.1499999999999
PE,2023-2024,8,307.75,516,569,1405.5000000000007,1937.1499999999999
PE,2023-2024,9,319.5,515,568,1357.9000000000012,1985.1999999999998
PE,2023-2024,10,330,529.5,575.45,1421.800000000001,1954.2999999999988
PE,2023-2024,11,333.75,539.5,587.45,1441.4000000000005,1965.1
PE,2023-2024,12,346,560.5,617.45,1514.800000000001,2279.299999999999
PE,2023-2024,13,362,582,646.45,1618.9000000000012,2080.05
PE,2023-2024,14,369.75,614.5,674,1604.1000000000001,2229.949999999999
PE,2023-2024,15,405,662,706,1748,2297.5999999999985
PE,2023-2024,16,423,695,763.45,1739.1000000000001,2365.499999999999
PE,2023-2024,17,452.5,740.5,799.9000000000001,1979.5000000000007,2533.1499999999996
PE,2023-2024,18,515.75,804.5,871,2135.800000000001,2893.2
PE,2023-2024,19,533,849,932.45,2219.7000000000025,3064.749999999999
PE,2023-2024,20,563,902,997,2393.2000000000016,3391.2
PE,2023-2024,21,617,957.5,1060.45,2448,3497.499999999999
PE,2023-2024,22,652.75,1053,1147.45,2732.900000000003,3823.5999999999995
PE,2023-2024,23,685.75,1104.5,1204,2817.3,3929.649999999999
PE,2023-2024,24,709,1146.5,1254,3074.9000000000015,4311.35
PE,2023-2024,25,760.75,1231,1347,3063.4000000000005,4128.999999999999
PE,2023-2024,26,806.75,1276.5,1383,3256.600000000001,4534.149999999999
PE,2023-2024,27,869.75,1364,1497.45,3357.3,4739.149999999999
PE,2023-2024,28,886,1381,1517.9,3754.600000000001,5003.45
PE,2023-2024,29,887,1463,1583.45,3649.1,5166.55
PE,2023-2024,30,949.75,1488.5,1633.45,3688.3,5302.7999999999975
PE,2023-2024,31,928,1509,1633,3840.800000000003,5059.3
PE,2023-2024,32,970,1532,1658,3985.6000000000004,5706.049999999999
PE,2023-2024,33,915.75,1442.5,1582.45,3792.9000000000015,5181.749999999998
PE,2023-2024,34,874,1401,1545,3771.400000000002,5219.5
PE,2023-2024,35,864.75,1393,1531.45,3521.1000000000013,4853.999999999999
PE,2023-2024,36,783,1273,1423.3500000000001,3502.0000000000027,4768.4
PE,2023-2024,37,752.75,1209.5,1315,3081.7000000000007,4243.949999999998
PE,2023-2024,38,688.75,1122.5,1239.45,3037.1,4004.0999999999995
PE,2023-2024,39,659.25,1058.5,1145.45,2730.300000000003,3674.4999999999995
PE,2023-2024,40,614,996,1087.45,2787.600000000002,3928.25
PE,2023-2024,41,561,921,1011.45,2500.2000000000003,3328.8999999999987
PE,2023-2024,42,534.75,883.5,971.45,2392.7000000000025,3332.3499999999995
PE,2023-2024,43,500,806,901,2195.800000000001,3056.3999999999996
PE,2023-2024,44,496,781,849,2110.2000000000003,2841.699999999999
PE,2023-2024,45,433,724,798.45,2024.2000000000003,2703.45
PE,2023-2024,46,424,674,743,1829.3000000000004,2568.1499999999996
PE,2023-2024,47,395.75,648,713.45,1831.4000000000005,2606.749999999998
PE,2023-2024,48,378.75,623.5,692,1710.6000000000008,2357.299999999999
PE,2023-2024,49,365,610,672,1698.5000000000007,2318.0999999999985
PE,2023-2024,50,344,569,633.45,1621.2000000000003,2246.4499999999985
PE,2023-2024,51,332.75,556.5,607,1525.3000000000004,2082.6999999999994
PE,2023-2024,52,328,545,608,1538.9000000000026,2123.949999999999
PI,2023-2024,1,16,26,29,66,89.04999999999995
PI,2023-2024,2,15,23,25,60,78.04999999999995
PI,2023-2024,3,14,23,25,59,77.04999999999995
PI,2023-2024,4,13,23,25,56,74
PI,2023-2024,5,14,23,25,56.100000000000136,76
PI,2023-2024,6,14,23,25,59.100000000000136,77
PI,2023-2024,7,15,24,26,59,80
PI,2023-2024,8,15,25,27,61,84.04999999999995
PI,2023-2024,9,16,26,28,69,89.04999999999995
PI,2023-2024,10,17,28,30,72,93
PI,2023-2024,11,18,31,34,76.10000000000014,99
PI,2023-2024,12,22,36,40,92,120.09999999999991
PI,2023-2024,13,27,43,48,112.10000000000014,147
PI,2023-2024,14,32,51,55,129,169.0999999999999
PI,2023-2024,15,42,65.5,71,163.10000000000014,221
PI,2023-2024,16,51,77,84,181,252.04999999999995
PI,2023-2024,17,61,93,100,226,298.04999999999995
PI,2023-2024,18,72,111,121,254.10000000000014,346
PI,2023-2024,19,84,128,139,306.10000000000014,417.04999999999995
PI,2023-2024,20,97,148,161,340,443.4499999999996
PI,2023-2024,21,113,169,183.45000000000005,393,511.0999999999999
PI,2023-2024,22,128,191,208,440.2000000000003,579.05
PI,2023-2024,23,146,217,234,516,658.05
PI,2023-2024,24,171,254.5,276,592,754.1499999999999
PI,2023-2024,25,195,287.5,312,642.1000000000001,819.05
PI,2023-2024,26,214,316,344.45000000000005,721.0000000000014,928.1999999999998
PI,2023-2024,27,234,352.5,380.45000000000005,789.5000000000007,996.2499999999998
PI,2023-2024,28,253,377,406,846,1079
PI,2023-2024,29,276,399,429,886.3000000000004,1155.1
