uf,season,estimate,LI,LS,estimate.prob,LI.prob,LS.prob
GO,2023-2024,127396.5,73926.925,263147.6499999999,96959,54439.9,201974.8249999999
MA,2023-2024,7825.5,2501.325,39008.69999999988,5908,1955.775,25307.04999999998
MG,2023-2024,245492.5,117738.25,997399.4749999981,145798,62732.075000000004,890270.6249999997
MS,2023-2024,45338,13064.5,258571.7749999998,26400,5375.625,248031.54999999984
MT,2023-2024,30693.5,12548.2,114287.04999999996,20050,8344.225,79811.1999999999
PA,2023-2024,11576,6034.275,26670.79999999998,5890,2913.525,14775.175
PB,2023-2024,18830,5977,74414.0249999999,14667,4843.475,66353.52499999998
PE,2023-2024,50340.5,17178.225,194557.0499999987,23998.5,6357,139838.02499999982
PI,2023-2024,8362.5,3575.95,24695.899999999994,6255.5,2557.775,22015.049999999956
PR,2023-2024,147786.5,50097.575,616944.7999999998,67796.5,12879.45,635344.9249999971
RJ,2023-2024,34218,8582.575,241944.4749999996,20220,4880.5,149389.34999999983
RN,2023-2024,22590.5,6757.25,110203.94999999978,16242.5,3676.75,111173.34999999977
RO,2023-2024,8039,2235.15,38886.899999999914,4003.5,831.975,30656.099999999962
RR,2023-2024,2346,647.9749999999999,8069.649999999997,233.5,18,3292.0999999999995
RS,2023-2024,14027,3527.8250000000003,134337.82499999972,6563.5,1192.875,98469.77499999994
SC,2023-2024,28673.5,6867.65,509370.69999999984,10686,1465.9250000000002,568857.3499999971
SE,2023-2024,5274.5,430,60852.74999999986,2038.5,157.90000000000003,28937.54999999985
SP,2023-2024,406891,232237.32499999998,1106130.8250000002,201496,78249.275,1602493.599999998
TO,2023-2024,17055.5,5446.8,65235.82499999996,6271,1583.5500000000002,31614.624999999993
AC,2024-2025,14051,3775.95,49544.17499999999,5338.5,1235.15,25577.224999999988
AL,2024-2025,13317.5,2471.525,106407.99999999948,9346.5,1543.95,79862.19999999987
AM,2024-2025,12217,4565,41522.82499999997,5049,1909.875,17803.69999999999
AP,2024-2025,1647.5,163.95,14029.44999999995,626,32.975,12434.174999999965
BA,2024-2025,77838,34665.875,315921.52499999973,54608.5,24484.475000000002,244223.82499999987
CE,2024-2025,54989,27534.300000000003,146554.04999999993,24334.5,9612.975,97000.44999999998
DF,2024-2025,32573.5,2517.2500000000005,495858.9249999977,24189,1407.4,430883.82499999757
ES,2024-2025,55610,12071.25,468263.6999999996,7896,278.97499999999997,1107441.9749999926
GO,2024-2025,158641.5,86879.075,371673.89999999956,116745.5,61020,249234.69999999943
MA,2024-2025,8697,2740.6000000000004,33290.749999999956,6224.5,2349.95,24149.54999999998
MG,2024-2025,364876,156026.4,1711205.3749999984,225956,88094.65000000001,1606314.2249999966
MS,2024-2025,47711.5,14381.75,241919.04999999993,25019.5,6060.95,194497.625
MT,2024-2025,34292.5,14143.975,125487.64999999975,22545.5,9624.550000000001,81977.42499999996
PA,2024-2025,14717,6445.975,40722.249999999825,7180,3405,21583.2
PB,2024-2025,20618,7545.7249999999995,78570.02499999986,14908,5183.45,56822.175
PE,2024-2025,54559.5,20445.775,197134.04999999996,23688.5,6487.6,125234.42499999992
PI,2024-2025,9325,4035.625,25949.32499999998,7023.5,2804.85,22644.224999999893
PR,2024-2025,200518,61366.85,930706.6749999993,102877,18341.625,1272930.999999999
RJ,2024-2025,51976.5,10456.25,489233.39999999944,31081,5135.75,295482.4749999997
RN,2024-2025,22903,7294.975,94756.84999999992,16568,3973.5,79840.6249999998
RO,2024-2025,8805,2173.875,42193.97499999995,4066.5,855.6000000000001,25723.224999999973
RR,2024-2025,2552,649,9644.949999999984,261,20,3271.0249999999996
RS,2024-2025,26484,5491,322609.69999999966,13852.5,1975.525,317612.7749999981
SC,2024-2025,50758,10416.775000000001,1055468.4749999945,22383,2415.35,1825882.2249999882
SE,2024-2025,5578,557.75,58455.999999999876,1957.5,162.925,20551.99999999994
SP,2024-2025,609959,318648.95,2309474.9499999965,316060.5,113584.375,1787859.4749999996
TO,2024-2025,17318,6250.775,63508.54999999996,6108,1697,27203.74999999994
